,disYear,disMonth,disDay,disDayCount,cityCode,citySidoName,citySggName,aptCode,aptName,disQuantity,dayAverQuantity,disCount,dayAverCount
0,2020,05,2,5,W01,서울특별시,종로구,W01000,종로구청,2150,430,20,4
0,2020,05,1,4,W01,서울특별시,종로구,W01001,대아파크빌(BM),105900,26475,85,21
1,2020,05,2,5,W01,서울특별시,종로구,W01001,대아파크빌(BM),66850,13370,47,9
2,2020,05,3,5,W01,서울특별시,종로구,W01001,대아파크빌(BM),95200,19040,75,15
3,2020,05,4,5,W01,서울특별시,종로구,W01001,대아파크빌(BM),61850,12370,49,9
4,2020,05,5,4,W01,서울특별시,종로구,W01001,대아파크빌(BM),73200,18300,58,14
5,2020,05,6,4,W01,서울특별시,종로구,W01001,대아파크빌(BM),89950,22487,65,16
6,2020,05,7,4,W01,서울특별시,종로구,W01001,대아파크빌(BM),112400,28100,88,22
0,2020,05,1,4,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),2308300,577075,1351,337
1,2020,05,2,5,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),1537200,307440,949,189
2,2020,05,3,5,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),1749700,349940,1149,229
3,2020,05,4,5,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),1363000,272600,949,189
4,2020,05,5,4,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),1183250,295812,814,203
5,2020,05,6,4,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),1752600,438150,1105,276
6,2020,05,7,4,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),1856650,464162,1113,278
0,2020,05,1,4,W01,서울특별시,종로구,W01003,창신두산(BM),1060300,265075,840,210
1,2020,05,2,5,W01,서울특별시,종로구,W01003,창신두산(BM),763500,152700,593,118
2,2020,05,3,5,W01,서울특별시,종로구,W01003,창신두산(BM),683250,136650,567,113
3,2020,05,4,5,W01,서울특별시,종로구,W01003,창신두산(BM),750900,150180,597,119
4,2020,05,5,4,W01,서울특별시,종로구,W01003,창신두산(BM),677150,169287,561,140
5,2020,05,6,4,W01,서울특별시,종로구,W01003,창신두산(BM),812600,203150,712,178
6,2020,05,7,4,W01,서울특별시,종로구,W01003,창신두산(BM),878600,219650,718,179
0,2020,05,1,4,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),589000,147250,353,88
1,2020,05,2,5,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),439300,87860,277,55
2,2020,05,3,5,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),346900,69380,257,51
3,2020,05,4,5,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),505200,101040,362,72
4,2020,05,5,4,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),291200,72800,229,57
5,2020,05,6,4,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),325850,81462,244,61
6,2020,05,7,4,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),434600,108650,330,82
0,2020,05,1,4,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1528200,382050,932,233
1,2020,05,2,5,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1155700,231140,701,140
2,2020,05,3,5,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1002700,200540,667,133
3,2020,05,4,5,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1164900,232980,730,146
4,2020,05,5,4,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),980350,245087,629,157
5,2020,05,6,4,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1256150,314037,851,212
6,2020,05,7,4,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1274050,318512,799,199
0,2020,05,1,4,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),141050,35262,136,34
1,2020,05,2,5,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),66100,13220,81,16
2,2020,05,3,5,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),65800,13160,76,15
3,2020,05,4,5,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),56800,11360,65,13
4,2020,05,5,4,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),76800,19200,70,17
5,2020,05,6,4,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),79200,19800,84,21
6,2020,05,7,4,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),115300,28825,115,28
0,2020,05,1,4,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),142650,35662,77,19
1,2020,05,2,5,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),180600,36120,87,17
2,2020,05,3,5,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),138900,27780,86,17
3,2020,05,4,5,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),167950,33590,89,17
4,2020,05,5,4,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),155600,38900,86,21
5,2020,05,6,4,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),185250,46312,101,25
6,2020,05,7,4,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),163550,40887,98,24
0,2020,05,1,4,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),356850,89212,213,53
1,2020,05,2,5,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),226000,45200,158,31
2,2020,05,3,5,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),229500,45900,173,34
3,2020,05,4,5,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),205850,41170,141,28
4,2020,05,5,4,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),179600,44900,142,35
5,2020,05,6,4,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),337000,84250,256,64
6,2020,05,7,4,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),251100,62775,161,40
0,2020,05,1,4,W01,서울특별시,종로구,W01009,주상복합아남(BM),127500,31875,132,33
1,2020,05,2,5,W01,서울특별시,종로구,W01009,주상복합아남(BM),87150,17430,87,17
2,2020,05,3,5,W01,서울특별시,종로구,W01009,주상복합아남(BM),89250,17850,82,16
3,2020,05,4,5,W01,서울특별시,종로구,W01009,주상복합아남(BM),73050,14610,79,15
4,2020,05,5,4,W01,서울특별시,종로구,W01009,주상복합아남(BM),87500,21875,85,21
5,2020,05,6,4,W01,서울특별시,종로구,W01009,주상복합아남(BM),117450,29362,111,27
6,2020,05,7,4,W01,서울특별시,종로구,W01009,주상복합아남(BM),129950,32487,121,30
0,2020,05,1,4,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),194250,48562,141,35
1,2020,05,2,5,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),115650,23130,93,18
2,2020,05,3,5,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),158100,31620,120,24
3,2020,05,4,5,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),129950,25990,91,18
4,2020,05,5,4,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),201050,50262,126,31
5,2020,05,6,4,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),186650,46662,121,30
6,2020,05,7,4,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),169800,42450,128,32
0,2020,05,1,4,W01,서울특별시,종로구,W01011,창신_쌍용1단지,1417650,354412,966,241
1,2020,05,2,5,W01,서울특별시,종로구,W01011,창신_쌍용1단지,939700,187940,715,143
2,2020,05,3,5,W01,서울특별시,종로구,W01011,창신_쌍용1단지,762050,152410,574,114
3,2020,05,4,5,W01,서울특별시,종로구,W01011,창신_쌍용1단지,823550,164710,620,124
4,2020,05,5,4,W01,서울특별시,종로구,W01011,창신_쌍용1단지,683250,170812,585,146
5,2020,05,6,4,W01,서울특별시,종로구,W01011,창신_쌍용1단지,886800,221700,697,174
6,2020,05,7,4,W01,서울특별시,종로구,W01011,창신_쌍용1단지,1064700,266175,775,193
0,2020,05,1,4,W01,서울특별시,종로구,W01012,창신_쌍용2단지,2012700,503175,1409,352
1,2020,05,2,5,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1560400,312080,1163,232
2,2020,05,3,5,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1130750,226150,884,176
3,2020,05,4,5,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1187750,237550,944,188
4,2020,05,5,4,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1221800,305450,931,232
5,2020,05,6,4,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1345450,336362,1052,263
6,2020,05,7,4,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1554150,388537,1138,284
0,2020,05,1,4,W01,서울특별시,종로구,W01013,청구빌라,271050,67762,140,35
1,2020,05,2,5,W01,서울특별시,종로구,W01013,청구빌라,199550,39910,119,23
2,2020,05,3,5,W01,서울특별시,종로구,W01013,청구빌라,153900,30780,84,16
3,2020,05,4,5,W01,서울특별시,종로구,W01013,청구빌라,191500,38300,104,20
4,2020,05,5,4,W01,서울특별시,종로구,W01013,청구빌라,166550,41637,105,26
5,2020,05,6,4,W01,서울특별시,종로구,W01013,청구빌라,150000,37500,102,25
6,2020,05,7,4,W01,서울특별시,종로구,W01013,청구빌라,239500,59875,118,29
0,2020,05,1,4,W01,서울특별시,종로구,W01014,현대평창빌라,104200,26050,59,14
1,2020,05,2,5,W01,서울특별시,종로구,W01014,현대평창빌라,65250,13050,38,7
2,2020,05,3,5,W01,서울특별시,종로구,W01014,현대평창빌라,96550,19310,47,9
3,2020,05,4,5,W01,서울특별시,종로구,W01014,현대평창빌라,78800,15760,45,9
4,2020,05,5,4,W01,서울특별시,종로구,W01014,현대평창빌라,59400,14850,33,8
5,2020,05,6,4,W01,서울특별시,종로구,W01014,현대평창빌라,57750,14437,44,11
6,2020,05,7,4,W01,서울특별시,종로구,W01014,현대평창빌라,97600,24400,59,14
0,2020,05,1,4,W01,서울특별시,종로구,W01015,종로센트레빌,1012300,253075,684,171
1,2020,05,2,5,W01,서울특별시,종로구,W01015,종로센트레빌,647200,129440,513,102
2,2020,05,3,5,W01,서울특별시,종로구,W01015,종로센트레빌,646700,129340,477,95
3,2020,05,4,5,W01,서울특별시,종로구,W01015,종로센트레빌,637650,127530,478,95
4,2020,05,5,4,W01,서울특별시,종로구,W01015,종로센트레빌,708700,177175,551,137
5,2020,05,6,4,W01,서울특별시,종로구,W01015,종로센트레빌,602700,150675,492,123
6,2020,05,7,4,W01,서울특별시,종로구,W01015,종로센트레빌,796200,199050,562,140
0,2020,05,1,4,W01,서울특별시,종로구,W01017,창신브라운스톤,253450,63362,154,38
1,2020,05,2,5,W01,서울특별시,종로구,W01017,창신브라운스톤,120500,24100,76,15
2,2020,05,3,5,W01,서울특별시,종로구,W01017,창신브라운스톤,131150,26230,79,15
3,2020,05,4,5,W01,서울특별시,종로구,W01017,창신브라운스톤,122900,24580,78,15
4,2020,05,5,4,W01,서울특별시,종로구,W01017,창신브라운스톤,103150,25787,80,20
5,2020,05,6,4,W01,서울특별시,종로구,W01017,창신브라운스톤,119300,29825,96,24
6,2020,05,7,4,W01,서울특별시,종로구,W01017,창신브라운스톤,161050,40262,103,25
0,2020,05,1,4,W01,서울특별시,종로구,W01018,창신이수아파트,300900,75225,147,36
1,2020,05,2,5,W01,서울특별시,종로구,W01018,창신이수아파트,208600,41720,114,22
2,2020,05,3,5,W01,서울특별시,종로구,W01018,창신이수아파트,167500,33500,99,19
3,2020,05,4,5,W01,서울특별시,종로구,W01018,창신이수아파트,201000,40200,115,23
4,2020,05,5,4,W01,서울특별시,종로구,W01018,창신이수아파트,177450,44362,102,25
5,2020,05,6,4,W01,서울특별시,종로구,W01018,창신이수아파트,225050,56262,120,30
6,2020,05,7,4,W01,서울특별시,종로구,W01018,창신이수아파트,270450,67612,143,35
0,2020,05,1,4,W01,서울특별시,종로구,W01019,평창삼성아파트,359350,89837,237,59
1,2020,05,2,5,W01,서울특별시,종로구,W01019,평창삼성아파트,165400,33080,110,22
2,2020,05,3,5,W01,서울특별시,종로구,W01019,평창삼성아파트,174300,34860,125,25
3,2020,05,4,5,W01,서울특별시,종로구,W01019,평창삼성아파트,181500,36300,136,27
4,2020,05,5,4,W01,서울특별시,종로구,W01019,평창삼성아파트,198450,49612,133,33
5,2020,05,6,4,W01,서울특별시,종로구,W01019,평창삼성아파트,218150,54537,150,37
6,2020,05,7,4,W01,서울특별시,종로구,W01019,평창삼성아파트,274300,68575,167,41
0,2020,05,1,4,W01,서울특별시,종로구,W01020,경희궁의아침3단지,240650,60162,116,29
1,2020,05,2,5,W01,서울특별시,종로구,W01020,경희궁의아침3단지,460250,92050,149,29
2,2020,05,3,5,W01,서울특별시,종로구,W01020,경희궁의아침3단지,489400,97880,150,30
3,2020,05,4,5,W01,서울특별시,종로구,W01020,경희궁의아침3단지,543750,108750,160,32
4,2020,05,5,4,W01,서울특별시,종로구,W01020,경희궁의아침3단지,517250,129312,157,39
5,2020,05,6,4,W01,서울특별시,종로구,W01020,경희궁의아침3단지,627150,156787,204,51
6,2020,05,7,4,W01,서울특별시,종로구,W01020,경희궁의아침3단지,394450,98612,152,38
0,2020,05,1,4,W01,서울특별시,종로구,W01021,인왕산2차아이파크,517900,129475,288,72
1,2020,05,2,5,W01,서울특별시,종로구,W01021,인왕산2차아이파크,271000,54200,175,35
2,2020,05,3,5,W01,서울특별시,종로구,W01021,인왕산2차아이파크,451750,90350,299,59
3,2020,05,4,5,W01,서울특별시,종로구,W01021,인왕산2차아이파크,215600,43120,152,30
4,2020,05,5,4,W01,서울특별시,종로구,W01021,인왕산2차아이파크,272650,68162,178,44
5,2020,05,6,4,W01,서울특별시,종로구,W01021,인왕산2차아이파크,327200,81800,218,54
6,2020,05,7,4,W01,서울특별시,종로구,W01021,인왕산2차아이파크,358450,89612,219,54
0,2020,05,1,4,W01,서울특별시,종로구,W01022,동익빌라,414950,103737,206,51
1,2020,05,2,5,W01,서울특별시,종로구,W01022,동익빌라,214900,42980,118,23
2,2020,05,3,5,W01,서울특별시,종로구,W01022,동익빌라,189950,37990,115,23
3,2020,05,4,5,W01,서울특별시,종로구,W01022,동익빌라,194150,38830,111,22
4,2020,05,5,4,W01,서울특별시,종로구,W01022,동익빌라,213100,53275,122,30
5,2020,05,6,4,W01,서울특별시,종로구,W01022,동익빌라,179850,44962,113,28
6,2020,05,7,4,W01,서울특별시,종로구,W01022,동익빌라,309850,77462,165,41
0,2020,05,1,4,W01,서울특별시,종로구,W01023,롯데빌라,101650,25412,60,15
1,2020,05,2,5,W01,서울특별시,종로구,W01023,롯데빌라,57350,11470,41,8
2,2020,05,3,5,W01,서울특별시,종로구,W01023,롯데빌라,57500,11500,36,7
3,2020,05,4,5,W01,서울특별시,종로구,W01023,롯데빌라,65450,13090,45,9
4,2020,05,5,4,W01,서울특별시,종로구,W01023,롯데빌라,44150,11037,34,8
5,2020,05,6,4,W01,서울특별시,종로구,W01023,롯데빌라,62350,15587,47,11
6,2020,05,7,4,W01,서울특별시,종로구,W01023,롯데빌라,46400,11600,36,9
0,2020,05,1,4,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,733300,183325,522,130
1,2020,05,2,5,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,532150,106430,416,83
2,2020,05,3,5,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,547200,109440,407,81
3,2020,05,4,5,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,479200,95840,390,78
4,2020,05,5,4,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,510100,127525,400,100
5,2020,05,6,4,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,606800,151700,463,115
6,2020,05,7,4,W01,서울특별시,종로구,W01024,롯데캐슬 천지인,634050,158512,458,114
0,2020,05,1,4,W01,서울특별시,종로구,W01025,운현신화타워,151350,37837,96,24
1,2020,05,2,5,W01,서울특별시,종로구,W01025,운현신화타워,98650,19730,75,15
2,2020,05,3,5,W01,서울특별시,종로구,W01025,운현신화타워,72650,14530,65,13
3,2020,05,4,5,W01,서울특별시,종로구,W01025,운현신화타워,62250,12450,69,13
4,2020,05,5,4,W01,서울특별시,종로구,W01025,운현신화타워,85100,21275,75,18
5,2020,05,6,4,W01,서울특별시,종로구,W01025,운현신화타워,111400,27850,91,22
6,2020,05,7,4,W01,서울특별시,종로구,W01025,운현신화타워,137450,34362,98,24
0,2020,05,1,4,W01,서울특별시,종로구,W01026,무악 현대아파트,1741100,435275,1092,273
1,2020,05,2,5,W01,서울특별시,종로구,W01026,무악 현대아파트,1343800,268760,863,172
2,2020,05,3,5,W01,서울특별시,종로구,W01026,무악 현대아파트,1537700,307540,1066,213
3,2020,05,4,5,W01,서울특별시,종로구,W01026,무악 현대아파트,1069500,213900,765,153
4,2020,05,5,4,W01,서울특별시,종로구,W01026,무악 현대아파트,1101350,275337,810,202
5,2020,05,6,4,W01,서울특별시,종로구,W01026,무악 현대아파트,1374700,343675,1006,251
6,2020,05,7,4,W01,서울특별시,종로구,W01026,무악 현대아파트,1536750,384187,1009,252
0,2020,05,1,4,W01,서울특별시,종로구,W01027,효성 주얼리시티,666350,166587,451,112
1,2020,05,2,5,W01,서울특별시,종로구,W01027,효성 주얼리시티,443750,88750,303,60
2,2020,05,3,5,W01,서울특별시,종로구,W01027,효성 주얼리시티,385850,77170,271,54
3,2020,05,4,5,W01,서울특별시,종로구,W01027,효성 주얼리시티,442300,88460,318,63
4,2020,05,5,4,W01,서울특별시,종로구,W01027,효성 주얼리시티,363750,90937,269,67
5,2020,05,6,4,W01,서울특별시,종로구,W01027,효성 주얼리시티,526350,131587,384,96
6,2020,05,7,4,W01,서울특별시,종로구,W01027,효성 주얼리시티,542700,135675,348,87
0,2020,05,1,4,W01,서울특별시,종로구,W01029,경희궁자이2단지,2460400,615100,1746,436
1,2020,05,2,5,W01,서울특별시,종로구,W01029,경희궁자이2단지,1766150,353230,1299,259
2,2020,05,3,5,W01,서울특별시,종로구,W01029,경희궁자이2단지,1611250,322250,1264,252
3,2020,05,4,5,W01,서울특별시,종로구,W01029,경희궁자이2단지,1765800,353160,1342,268
4,2020,05,5,4,W01,서울특별시,종로구,W01029,경희궁자이2단지,1633450,408362,1275,318
5,2020,05,6,4,W01,서울특별시,종로구,W01029,경희궁자이2단지,1940550,485137,1547,386
6,2020,05,7,4,W01,서울특별시,종로구,W01029,경희궁자이2단지,2019250,504812,1474,368
0,2020,05,1,4,W01,서울특별시,종로구,W01030,경희궁자이3단지,1492000,373000,1069,267
1,2020,05,2,5,W01,서울특별시,종로구,W01030,경희궁자이3단지,981050,196210,746,149
2,2020,05,3,5,W01,서울특별시,종로구,W01030,경희궁자이3단지,928700,185740,727,145
3,2020,05,4,5,W01,서울특별시,종로구,W01030,경희궁자이3단지,985950,197190,739,147
4,2020,05,5,4,W01,서울특별시,종로구,W01030,경희궁자이3단지,988950,247237,750,187
5,2020,05,6,4,W01,서울특별시,종로구,W01030,경희궁자이3단지,1134650,283662,870,217
6,2020,05,7,4,W01,서울특별시,종로구,W01030,경희궁자이3단지,1133900,283475,874,218
0,2020,05,1,4,W01,서울특별시,종로구,W01031,요진쉐레이,13500,3375,8,2
1,2020,05,2,5,W01,서울특별시,종로구,W01031,요진쉐레이,26800,5360,15,3
2,2020,05,3,5,W01,서울특별시,종로구,W01031,요진쉐레이,5300,1060,2,0
3,2020,05,4,5,W01,서울특별시,종로구,W01031,요진쉐레이,17200,3440,10,2
4,2020,05,5,4,W01,서울특별시,종로구,W01031,요진쉐레이,8450,2112,4,1
5,2020,05,6,4,W01,서울특별시,종로구,W01031,요진쉐레이,15800,3950,10,2
6,2020,05,7,4,W01,서울특별시,종로구,W01031,요진쉐레이,6600,1650,6,1
0,2020,05,1,4,W01,서울특별시,종로구,W01032,형인스카이빌,6600,1650,7,1
1,2020,05,2,5,W01,서울특별시,종로구,W01032,형인스카이빌,6400,1280,5,1
2,2020,05,3,5,W01,서울특별시,종로구,W01032,형인스카이빌,6600,1320,7,1
3,2020,05,4,5,W01,서울특별시,종로구,W01032,형인스카이빌,9100,1820,8,1
4,2020,05,5,4,W01,서울특별시,종로구,W01032,형인스카이빌,15750,3937,7,1
5,2020,05,6,4,W01,서울특별시,종로구,W01032,형인스카이빌,5400,1350,7,1
6,2020,05,7,4,W01,서울특별시,종로구,W01032,형인스카이빌,13150,3287,6,1
0,2020,05,1,4,W01,서울특별시,종로구,W01033,동아아파트,79900,19975,54,13
1,2020,05,2,5,W01,서울특별시,종로구,W01033,동아아파트,46300,9260,33,6
2,2020,05,3,5,W01,서울특별시,종로구,W01033,동아아파트,37500,7500,35,7
3,2020,05,4,5,W01,서울특별시,종로구,W01033,동아아파트,38300,7660,32,6
4,2020,05,5,4,W01,서울특별시,종로구,W01033,동아아파트,54800,13700,37,9
5,2020,05,6,4,W01,서울특별시,종로구,W01033,동아아파트,38450,9612,36,9
6,2020,05,7,4,W01,서울특별시,종로구,W01033,동아아파트,51650,12912,39,9
0,2020,05,1,4,W01,서울특별시,종로구,W01034,하늘터아파트,33500,8375,23,5
1,2020,05,2,5,W01,서울특별시,종로구,W01034,하늘터아파트,21650,4330,15,3
2,2020,05,3,5,W01,서울특별시,종로구,W01034,하늘터아파트,21850,4370,14,2
3,2020,05,4,5,W01,서울특별시,종로구,W01034,하늘터아파트,34200,6840,19,3
4,2020,05,5,4,W01,서울특별시,종로구,W01034,하늘터아파트,30150,7537,16,4
5,2020,05,6,4,W01,서울특별시,종로구,W01034,하늘터아파트,20500,5125,15,3
6,2020,05,7,4,W01,서울특별시,종로구,W01034,하늘터아파트,27950,6987,19,4
0,2020,05,1,4,W01,서울특별시,종로구,W01035,청기와빌라2차,12600,3150,10,2
1,2020,05,2,5,W01,서울특별시,종로구,W01035,청기와빌라2차,26500,5300,23,4
2,2020,05,3,5,W01,서울특별시,종로구,W01035,청기와빌라2차,15700,3140,13,2
3,2020,05,4,5,W01,서울특별시,종로구,W01035,청기와빌라2차,13200,2640,10,2
4,2020,05,5,4,W01,서울특별시,종로구,W01035,청기와빌라2차,12650,3162,13,3
5,2020,05,6,4,W01,서울특별시,종로구,W01035,청기와빌라2차,28250,7062,24,6
6,2020,05,7,4,W01,서울특별시,종로구,W01035,청기와빌라2차,16700,4175,15,3
0,2020,05,1,4,W01,서울특별시,종로구,W01036,중앙빌라,126500,31625,82,20
1,2020,05,2,5,W01,서울특별시,종로구,W01036,중앙빌라,101000,20200,60,12
2,2020,05,3,5,W01,서울특별시,종로구,W01036,중앙빌라,71200,14240,49,9
3,2020,05,4,5,W01,서울특별시,종로구,W01036,중앙빌라,71400,14280,50,10
4,2020,05,5,4,W01,서울특별시,종로구,W01036,중앙빌라,80600,20150,62,15
5,2020,05,6,4,W01,서울특별시,종로구,W01036,중앙빌라,106200,26550,69,17
6,2020,05,7,4,W01,서울특별시,종로구,W01036,중앙빌라,89700,22425,77,19
0,2020,05,1,4,W01,서울특별시,종로구,W01037,경희궁자이1단지,647500,161875,592,148
1,2020,05,2,5,W01,서울특별시,종로구,W01037,경희궁자이1단지,355550,71110,344,68
2,2020,05,3,5,W01,서울특별시,종로구,W01037,경희궁자이1단지,401250,80250,365,73
3,2020,05,4,5,W01,서울특별시,종로구,W01037,경희궁자이1단지,343000,68600,348,69
4,2020,05,5,4,W01,서울특별시,종로구,W01037,경희궁자이1단지,349500,87375,344,86
5,2020,05,6,4,W01,서울특별시,종로구,W01037,경희궁자이1단지,380700,95175,375,93
6,2020,05,7,4,W01,서울특별시,종로구,W01037,경희궁자이1단지,502200,125550,461,115
0,2020,05,1,4,W01,서울특별시,종로구,W01038,숭인상가아파트,210250,52562,138,34
1,2020,05,2,5,W01,서울특별시,종로구,W01038,숭인상가아파트,126650,25330,85,17
2,2020,05,3,5,W01,서울특별시,종로구,W01038,숭인상가아파트,128800,25760,108,21
3,2020,05,4,5,W01,서울특별시,종로구,W01038,숭인상가아파트,122900,24580,100,20
4,2020,05,5,4,W01,서울특별시,종로구,W01038,숭인상가아파트,126850,31712,89,22
5,2020,05,6,4,W01,서울특별시,종로구,W01038,숭인상가아파트,188600,47150,139,34
6,2020,05,7,4,W01,서울특별시,종로구,W01038,숭인상가아파트,167950,41987,128,32
0,2020,05,1,4,W01,서울특별시,종로구,W01039,금강파크빌라,129350,32337,94,23
1,2020,05,2,5,W01,서울특별시,종로구,W01039,금강파크빌라,89300,17860,52,10
2,2020,05,3,5,W01,서울특별시,종로구,W01039,금강파크빌라,105350,21070,68,13
3,2020,05,4,5,W01,서울특별시,종로구,W01039,금강파크빌라,83150,16630,57,11
4,2020,05,5,4,W01,서울특별시,종로구,W01039,금강파크빌라,108150,27037,69,17
5,2020,05,6,4,W01,서울특별시,종로구,W01039,금강파크빌라,67200,16800,53,13
6,2020,05,7,4,W01,서울특별시,종로구,W01039,금강파크빌라,134850,33712,80,20
0,2020,05,1,4,W01,서울특별시,종로구,W0103A,평창롯데,285450,71362,143,35
1,2020,05,2,5,W01,서울특별시,종로구,W0103A,평창롯데,226000,45200,127,25
2,2020,05,3,5,W01,서울특별시,종로구,W0103A,평창롯데,148050,29610,85,17
