,disYear,disMonth,disDay,disDayCount,cityCode,citySidoName,citySggName,aptCode,aptName,disQuantity,dayAverQuantity,disCount,dayAverCount
0,2020,06,4,4,W01,서울특별시,종로구,W01000,종로구청,2500,625,25,6
0,2020,06,1,4,W01,서울특별시,종로구,W01001,대아파크빌(BM),95450,23862,67,16
1,2020,06,2,5,W01,서울특별시,종로구,W01001,대아파크빌(BM),114950,22990,88,17
2,2020,06,3,5,W01,서울특별시,종로구,W01001,대아파크빌(BM),101350,20270,87,17
3,2020,06,4,4,W01,서울특별시,종로구,W01001,대아파크빌(BM),74650,18662,56,14
4,2020,06,5,4,W01,서울특별시,종로구,W01001,대아파크빌(BM),75950,18987,68,17
5,2020,06,6,4,W01,서울특별시,종로구,W01001,대아파크빌(BM),77650,19412,59,14
6,2020,06,7,4,W01,서울특별시,종로구,W01001,대아파크빌(BM),96600,24150,72,18
0,2020,06,1,4,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),2109450,527362,1194,298
1,2020,06,2,5,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),2251650,450330,1319,263
2,2020,06,3,5,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),2378250,475650,1533,306
3,2020,06,4,4,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),1363550,340887,932,233
4,2020,06,5,4,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),1299050,324762,910,227
5,2020,06,6,4,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),1508150,377037,1011,252
6,2020,06,7,4,W01,서울특별시,종로구,W01002,인왕산아이파크(BM),1628800,407200,995,248
0,2020,06,1,4,W01,서울특별시,종로구,W01003,창신두산(BM),1116700,279175,824,206
1,2020,06,2,5,W01,서울특별시,종로구,W01003,창신두산(BM),1059150,211830,875,175
2,2020,06,3,5,W01,서울특별시,종로구,W01003,창신두산(BM),1074900,214980,854,170
3,2020,06,4,4,W01,서울특별시,종로구,W01003,창신두산(BM),867150,216787,662,165
4,2020,06,5,4,W01,서울특별시,종로구,W01003,창신두산(BM),744800,186200,643,160
5,2020,06,6,4,W01,서울특별시,종로구,W01003,창신두산(BM),787200,196800,668,167
6,2020,06,7,4,W01,서울특별시,종로구,W01003,창신두산(BM),952650,238162,714,178
0,2020,06,1,4,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),516050,129012,311,77
1,2020,06,2,5,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),520950,104190,360,72
2,2020,06,3,5,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),435150,87030,329,65
3,2020,06,4,4,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),466850,116712,329,82
4,2020,06,5,4,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),412100,103025,277,69
5,2020,06,6,4,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),360050,90012,269,67
6,2020,06,7,4,W01,서울특별시,종로구,W01004,청계힐스테이트(BM),434400,108600,314,78
0,2020,06,1,4,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1359650,339912,760,190
1,2020,06,2,5,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1658200,331640,987,197
2,2020,06,3,5,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1315250,263050,874,174
3,2020,06,4,4,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1267300,316825,760,190
4,2020,06,5,4,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1298550,324637,765,191
5,2020,06,6,4,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1130250,282562,708,177
6,2020,06,7,4,W01,서울특별시,종로구,W01005,광화문스페이스본 아파트(BM),1126850,281712,689,172
0,2020,06,1,4,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),151800,37950,132,33
1,2020,06,2,5,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),79750,15950,92,18
2,2020,06,3,5,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),79700,15940,100,20
3,2020,06,4,4,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),73400,18350,73,18
4,2020,06,5,4,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),53400,13350,68,17
5,2020,06,6,4,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),69350,17337,76,19
6,2020,06,7,4,W01,서울특별시,종로구,W01006,광화문스페이스본 오피스텔(BM),78350,19587,82,20
0,2020,06,1,4,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),129400,32350,68,17
1,2020,06,2,5,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),268850,53770,135,27
2,2020,06,3,5,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),240150,48030,120,24
3,2020,06,4,4,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),116900,29225,79,19
4,2020,06,5,4,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),179950,44987,92,23
5,2020,06,6,4,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),171600,42900,89,22
6,2020,06,7,4,W01,서울특별시,종로구,W01007,롯데캐슬로잔아파트(BM),126250,31562,73,18
0,2020,06,1,4,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),295800,73950,198,49
1,2020,06,2,5,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),355950,71190,242,48
2,2020,06,3,5,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),266050,53210,181,36
3,2020,06,4,4,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),188850,47212,137,34
4,2020,06,5,4,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),228800,57200,169,42
5,2020,06,6,4,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),243200,60800,201,50
6,2020,06,7,4,W01,서울특별시,종로구,W01008,금강하이츠빌라(BM),269950,67487,186,46
0,2020,06,1,4,W01,서울특별시,종로구,W01009,주상복합아남(BM),125800,31450,102,25
1,2020,06,2,5,W01,서울특별시,종로구,W01009,주상복합아남(BM),131350,26270,130,26
2,2020,06,3,5,W01,서울특별시,종로구,W01009,주상복합아남(BM),108150,21630,100,20
3,2020,06,4,4,W01,서울특별시,종로구,W01009,주상복합아남(BM),110400,27600,102,25
4,2020,06,5,4,W01,서울특별시,종로구,W01009,주상복합아남(BM),100950,25237,99,24
5,2020,06,6,4,W01,서울특별시,종로구,W01009,주상복합아남(BM),98050,24512,87,21
6,2020,06,7,4,W01,서울특별시,종로구,W01009,주상복합아남(BM),126400,31600,107,26
0,2020,06,1,4,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),190650,47662,132,33
1,2020,06,2,5,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),211250,42250,148,29
2,2020,06,3,5,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),193600,38720,148,29
3,2020,06,4,4,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),137050,34262,97,24
4,2020,06,5,4,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),194600,48650,133,33
5,2020,06,6,4,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),129600,32400,101,25
6,2020,06,7,4,W01,서울특별시,종로구,W0100A,현대구기빌라(BM),206800,51700,135,33
0,2020,06,1,4,W01,서울특별시,종로구,W01011,창신_쌍용1단지,1221350,305337,848,212
1,2020,06,2,5,W01,서울특별시,종로구,W01011,창신_쌍용1단지,1308400,261680,1067,213
2,2020,06,3,5,W01,서울특별시,종로구,W01011,창신_쌍용1단지,987300,197460,747,149
3,2020,06,4,4,W01,서울특별시,종로구,W01011,창신_쌍용1단지,801100,200275,592,148
4,2020,06,5,4,W01,서울특별시,종로구,W01011,창신_쌍용1단지,904750,226187,716,179
5,2020,06,6,4,W01,서울특별시,종로구,W01011,창신_쌍용1단지,813450,203362,675,168
6,2020,06,7,4,W01,서울특별시,종로구,W01011,창신_쌍용1단지,1013750,253437,731,182
0,2020,06,1,4,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1762150,440537,1254,313
1,2020,06,2,5,W01,서울특별시,종로구,W01012,창신_쌍용2단지,2118350,423670,1607,321
2,2020,06,3,5,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1488250,297650,1244,248
3,2020,06,4,4,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1287100,321775,980,245
4,2020,06,5,4,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1319550,329887,1060,265
5,2020,06,6,4,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1340250,335062,1062,265
6,2020,06,7,4,W01,서울특별시,종로구,W01012,창신_쌍용2단지,1492100,373025,1105,276
0,2020,06,1,4,W01,서울특별시,종로구,W01013,청구빌라,253050,63262,130,32
1,2020,06,2,5,W01,서울특별시,종로구,W01013,청구빌라,285700,57140,154,30
2,2020,06,3,5,W01,서울특별시,종로구,W01013,청구빌라,185950,37190,117,23
3,2020,06,4,4,W01,서울특별시,종로구,W01013,청구빌라,147400,36850,91,22
4,2020,06,5,4,W01,서울특별시,종로구,W01013,청구빌라,211100,52775,131,32
5,2020,06,6,4,W01,서울특별시,종로구,W01013,청구빌라,172550,43137,111,27
6,2020,06,7,4,W01,서울특별시,종로구,W01013,청구빌라,161600,40400,98,24
0,2020,06,1,4,W01,서울특별시,종로구,W01014,현대평창빌라,88850,22212,56,14
1,2020,06,2,5,W01,서울특별시,종로구,W01014,현대평창빌라,97100,19420,56,11
2,2020,06,3,5,W01,서울특별시,종로구,W01014,현대평창빌라,104800,20960,59,11
3,2020,06,4,4,W01,서울특별시,종로구,W01014,현대평창빌라,47350,11837,39,9
4,2020,06,5,4,W01,서울특별시,종로구,W01014,현대평창빌라,43050,10762,34,8
5,2020,06,6,4,W01,서울특별시,종로구,W01014,현대평창빌라,74050,18512,53,13
6,2020,06,7,4,W01,서울특별시,종로구,W01014,현대평창빌라,85600,21400,55,13
0,2020,06,1,4,W01,서울특별시,종로구,W01015,종로센트레빌,885550,221387,615,153
1,2020,06,2,5,W01,서울특별시,종로구,W01015,종로센트레빌,992350,198470,714,142
2,2020,06,3,5,W01,서울특별시,종로구,W01015,종로센트레빌,887200,177440,643,128
3,2020,06,4,4,W01,서울특별시,종로구,W01015,종로센트레빌,598000,149500,479,119
4,2020,06,5,4,W01,서울특별시,종로구,W01015,종로센트레빌,775500,193875,618,154
5,2020,06,6,4,W01,서울특별시,종로구,W01015,종로센트레빌,586650,146662,492,123
6,2020,06,7,4,W01,서울특별시,종로구,W01015,종로센트레빌,714100,178525,508,127
0,2020,06,1,4,W01,서울특별시,종로구,W01017,창신브라운스톤,218250,54562,146,36
1,2020,06,2,5,W01,서울특별시,종로구,W01017,창신브라운스톤,141400,28280,99,19
2,2020,06,3,5,W01,서울특별시,종로구,W01017,창신브라운스톤,178750,35750,116,23
3,2020,06,4,4,W01,서울특별시,종로구,W01017,창신브라운스톤,124650,31162,90,22
